thumbnail,title,date,excerpt
http://www.csa-ma.com.br/wp-content/uploads/2020/04/Webinars-WK-e-Somar_site-270x230.png,Circuito de Treinamentos e Webinars CSA e Somar,14 de abril de 2020,"Temos uma ótima notícia pra você!! A CSA Consultoria em parceria com a Somar Soluções, canal de distribuição da WK Sistemas em Belo Horizonte – Minas Gerais, estarão promovendo um Circuito de Treinamentos e Webinars focados em funcionalidades do Radar Empresarial para ajudá-lo a superar este momento de crise. Os encontros, todos […]"
http://www.csa-ma.com.br/wp-content/uploads/2020/03/cabeça-landing-page-Pacote-anticrise-CSA-270x230.png,Pacote Anticrise – CSA Consultoria,30 de março de 2020,"Estamos enfrentamento um momento de crise com a pandemia do COVID-19 e nesta situação queremos que nossa parceria faça a diferença na sua empresa! Entendemos que fazer a diferença é estar ao seu lado, apoiando, para que mesmo diante de todas as dificuldades sua empresa continue funcionando, sem precisar colocar […]"
http://www.csa-ma.com.br/wp-content/uploads/2019/08/Capa-Benefícios-270x230.png,Controlar benefícios em planilha? Tô fora!,20 de agosto de 2019,"A rotina dos profissionais do departamento de Recursos Humanos concentra muitos processos que são essenciais para o desenvolvimento de uma empresa. Uma de suas principais responsabilidades é gerenciar a folha de pagamento, que engloba diversos processos, como a gestão dos benefícios concedidos aos colaboradores, férias, décimo terceiro, o recolhimento dos […]"
http://www.csa-ma.com.br/wp-content/uploads/2019/07/Vaga-SDR-CAPA-270x230.jpg,Vaga de Estágio – SDR (sales development representative),29 de julho de 2019,"Quer trabalhar em uma empresa inovadora, ajudando a estruturar um processo inovador? Venha estagiar com a gente!   A CSA está com uma vaga incrível em aberto na área comercial: SDR – Sales Development Representative !! Foco do SDR: Prospecção, qualificação e nutrição do funil de vendas Responsabilidades: Geração de listas […]"
http://www.csa-ma.com.br/wp-content/uploads/2019/07/capa-eSocial-novas-diretrizes-270x230.png,o eSocial vai acabar ? FATO ou FAKE ?,19 de julho de 2019,"Recentemente o governo lançou uma nota informando a simplificação da estrutura do eSocial e com isso trouxe uma enxurrada de fake news sobre: “extinção do eSocial“. A CSA Esclarece: NÃO É BEM ASSIM… Ficamos espantados com a grande circulação através das mídias, sobre uma inverdade que se espalhou pelo Brasil […]"
http://www.csa-ma.com.br/wp-content/uploads/2019/05/Capa-Gestão-de-dados-270x230.png,A importância dos dados para estratégias de gestão,27 de maio de 2019,"Estamos vivendo a era da inovação onde a tecnologia e a automatização são fundamentais para a sobrevivência das empresas no mercado, alguns gestores já possuem esse entendimento e compreendem a importância de ter seus dados informatizados para uma boa estratégia de gestão. Mas infelizmente a maioria dos empresários não possui […]"
http://www.csa-ma.com.br/wp-content/uploads/2019/04/capa-EFD-REINF-blog-270x230.png,EFD-REINF: Como vai funcionar e qual setor é responsável pela entrega?,23 de abril de 2019,Junto com a onda do eSocial veio a EFD-REINF! Mais uma obrigação acessória que pegou […]
http://www.csa-ma.com.br/wp-content/uploads/2019/02/Post-SST-esocial-capapng-270x230.png,O que esperar do SST para o eSocial ?,12 de fevereiro de 2019,O primeiro contato com o eSocial foi feito através da equipe do departamento pessoal. Passado […]
http://www.csa-ma.com.br/wp-content/uploads/2018/11/Capa-eSocial-270x230.jpg,eSocial – Entenda todas as mudanças e se adeque!,22 de novembro de 2018,"O eSocial já começou e ainda sim muitas empresas ainda não sabem como se adequar, […]"
http://www.csa-ma.com.br/wp-content/uploads/2018/09/dctf-web-capa--270x230.png,DCTF Web: Entenda o que é e sua relação com eSocial e EFD REINF.,26 de setembro de 2018,"Esse ano foi marcado por muitas mudanças no âmbito fiscal, previdenciário e trabalhista. Junto com […]"
http://www.csa-ma.com.br/wp-content/uploads/2017/11/eSocial-blog-2-270x230.png,eSocial – Quais as vantagens para o empregador?,20 de novembro de 2017,Recentemente um empresário me perguntou se esse “troço” de eSocial ia trazer alguma vantagem para […]
http://www.csa-ma.com.br/wp-content/uploads/2017/11/Comunicado-de-desligamento-270x230.png,COMUNICADO DE DESLIGAMENTO,1 de novembro de 2017,"Prezados Clientes e Parceiros, Comunicamos que a partir de 01/11/2017 os colaboradores Ana Cláudia Rodrigues, […]"
http://www.csa-ma.com.br/wp-content/uploads/2017/10/exames-toxicológicos-270x230.png,EXAMES TOXICOLÓGICOS PASSAM A SER EXIGÊNCIA PARA MOTORISTAS PROFISSIONAIS,27 de outubro de 2017,"A partir do dia 13/10/2017, as empresas devem informar ao Cadastro Geral de Empregados e […]"
http://www.csa-ma.com.br/wp-content/uploads/2017/09/Cliente-insatisfeito-270x230.png,Como recuperar o cliente insatisfeito? 4 passos para restabelecer a confiança,22 de setembro de 2017,"A confiança de um cliente insatisfeito pode ser recuperada por uma empresa? De tão importante, […]"
